Object Full Name,Diameter (km),Albedo,Rotation Period (hrs),Absolute Magnitude Parameter,Epoch of Oscillation in Julian Day Form,Eccentricity,Semi-Major Axis (au),Perihelion Distance (au),Inclination (degrees),Longitude of Ascending Node (deg),Argument of Perihelion (deg),Mean Anomaly (deg),Aphelion distance (au),Mean motion (deg/day),Earth Minimum Orbit Intersection Distance (au),Potentially Hazardous Asteroid
162210 (1999 SM5),,,6.23,19.3,2459800.5,0.695,2.304,0.703,5.19,327.74,319.18,217.09,3.91,0.2818,0.0495,1
162361 (2000 AF6),,,3.4558,20.23,2459800.5,0.4112,0.8772,0.517,2.7,110.66,200.33,307.82,1.24,1.2,0.0235,1
162416 (2000 EH26),,,24,21.67,2459800.5,0.4783,1.854,0.967,0.4,215.19,19.13,291.98,2.74,0.3905,0.000984,1
162421 (2000 ET70),,,8.947,18.37,2459800.5,0.1238,0.9467,0.829,22.32,331.14,46.1,255.49,1.06,1.07,0.0314,1
162422 (2000 EV70),,,,20.59,2459800.5,0.5311,1.207,0.566,1.4,108.93,314.51,6.44,1.85,0.7429,0.0119,1
162474 (2000 LB16),,,,18.57,2459800.5,0.3575,1.241,0.797,50.71,80.85,285.26,312.84,1.68,0.713,0.00553,1
162510 (2000 QW69),1.406,0.089,,17.52,2459800.5,0.3023,1.376,0.96,38.15,344.34,220.69,323,1.79,0.6106,0.0256,1
162567 (2000 RW37),0.335,0.173,2.439,19.97,2459800.5,0.2501,1.247,0.935,13.75,333.3,133.3,166.23,1.56,0.7075,0.00886,1
162687 (2000 UH1),,,,18.9,2459800.5,0.5437,1.875,0.855,14.77,76.14,40.99,145.56,2.89,0.384,0.0336,1
162695 (2000 UL11),,,,20.2,2459800.5,0.6348,2.122,0.775,2.19,333.21,152.1,351.55,3.47,0.3189,0.0228,1
162783 (2000 YJ11),,,,20.91,2459800.5,0.2323,1.314,1.009,7.26,64.93,339.14,163.32,1.62,0.6546,0.0311,1
162825 (2001 BO61),,,,18.02,2459800.5,0.743,1.774,0.456,9.08,159.8,78.83,5.32,3.09,0.4171,0.0146,1
162882 (2001 FD58),,,,18.82,2459800.5,0.5753,1.092,0.464,6.5,341.17,46,17.76,1.72,0.8633,0.0328,1
162922 (2001 OY13),,,,20.91,2459800.5,0.3818,1.318,0.815,10.3,284.23,291.2,13.38,1.82,0.6511,0.0134,1
162979 (2001 RA12),,,,18.32,2459800.5,0.5441,2.036,0.928,17.09,311.58,326.08,88.49,3.14,0.3392,0.0215,1
162998 (2001 SK162),0.875,0.161,68,18.18,2459800.5,0.4744,1.926,1.012,1.68,285.36,186.39,246.55,2.84,0.3688,0.0303,1
163014 (2001 UA5),,,,17.72,2459800.5,0.4456,1.787,0.991,9.94,58.63,27.68,237.89,2.58,0.4126,0.0326,1
163026 (2001 XR30),,,,21.24,2459800.5,0.3654,1.297,0.823,11.86,247.86,294.47,292.33,1.77,0.6673,0.0219,1
163051 (2001 YJ4),,,4.693,16.36,2459800.5,0.5692,2.272,0.979,9.28,247.84,322.32,338.54,3.56,0.2879,0.0277,1
163067 (2002 AP3),,,,19.99,2459800.5,0.5881,2.043,0.842,7.6,87.43,117.64,345.17,3.25,0.3374,0.0108,1
163132 (2002 CU11),0.46,0.408,,18.61,2459800.5,0.2951,1.22,0.86,48.78,157.75,110.54,3.81,1.58,0.7317,0.000292,1
163243 (2002 FB3),1.682,0.172,6.231,16.56,2459800.5,0.6017,0.7616,0.303,20.28,203.57,148.33,3.01,1.22,1.483,0.00292,1
