Object Full Name,Diameter (km),Albedo,Rotation Period (hrs),Absolute Magnitude Parameter,Epoch of Oscillation in Julian Day Form,Eccentricity,Semi-Major Axis (au),Perihelion Distance (au),Inclination (degrees),Longitude of Ascending Node (deg),Argument of Perihelion (deg),Mean Anomaly (deg),Aphelion distance (au),Mean motion (deg/day),Earth Minimum Orbit Intersection Distance (au),Potentially Hazardous Asteroid
       (2008 SD),,,,19.5,2459800.5,0.7383,2.037,0.533,17.27,27.02,220.08,300.54,3.54,0.339,0.205,0
       (2008 SE),,,4.57,19.4,2459800.5,0.4835,2.362,1.22,8.63,216.14,156.38,293.86,3.5,0.2715,0.23,0
       (2008 SP),,,,23.4,2459800.5,0.3504,1.691,1.098,16.53,187.22,129.94,130.3,2.28,0.4483,0.167,0
       (2008 SQ),,,,19.5,2459800.5,0.3547,1.64,1.059,12.71,4.89,319.83,237.29,2.22,0.4691,0.0992,0
       (2008 SR),,,,21.8,2459800.5,0.4038,2.002,1.194,4.48,256.46,138.64,313.78,2.81,0.348,0.209,0
       (2008 SS),,,,22.2,2459800.5,0.4793,0.9284,0.483,21.14,5.04,135.04,87.31,1.37,1.102,0.0453,0
       (2008 ST),,,,27.1,2459800.5,0.1258,0.964,0.843,1.91,189.46,291.22,129.48,1.09,1.041,0.0019,0
       (2008 SN1),,,,19.58,2459800.5,0.5144,2.658,1.291,6.05,279.06,84.58,72.62,4.03,0.2274,0.312,0
       (2008 SO1),,,,19.8,2459800.5,0.5998,2.882,1.153,12.41,198.98,245.19,289.95,4.61,0.2015,0.254,0
       (2008 SR1),,,22.15,20.32,2459800.5,0.6501,2.372,0.83,16.89,178,116.85,297.36,3.91,0.2697,0.0295,1
       (2008 ST1),,,,27.2,2454733.5,0.3012,1.381,0.965,8.58,179.06,144.37,20.24,1.8,0.6071,0.00361,0
       (2008 SU1),,,,19.2,2459800.5,0.7569,2.145,0.521,8.92,287.55,195.36,120.2,3.77,0.3137,0.145,0
